Article author,Comments,Barrier/enabler,Domain,CFIR Construct 1
"Katz, 2018","Interface between the Unit and GPsâ€“Focusing on the GPs that reported a positive sentiment with the system, 78% reported that they would participate in programs of this (virtual) nature if it was easier to enrol patients and that the programme did add value to their role as a GP.",Barrier,Innovation,G. Innovation Design
"Katz, 2018","About 50% of respondents did not believe VC diminished patient care, and all reported that their patients were satisfied.",Enabler,Innovation,C. Innovation Relative Advantage
"Katz, 2018",All of the respondents (n=11) reported that they received adequate training and support and that the information and knowledge they gleaned about renal disease was very beneficial,Enabler,Inner setting,K. Access to Knowledge & Information
LaMonica 2020,"Although the main implementation barrier identified for health professionals generally related to concerns that the tool could replace clinical expertise, participants denied this as a personal concern, noting that the InnoWell Platform may â€œ...enrich the counseling side of thingsâ€",Enabler,Innovation,C. Innovation Relative Advantage
LaMonica 2020,"Service barriers: At the service level, the main barriers were associated with the interrelated themes of implementation, existing information technology (IT) infrastructure, funding, and resourcing.",Barrier,Inner setting,A2. Information Technology Infrastructure 
LaMonica 2020,"Service barriers: At the service level, the main barriers were associated with the interrelated themes of implementation, existing information technology (IT) infrastructure, funding, and resourcing.",Barrier,Inner setting,J1. Funding
LaMonica 2020,"The first 2 participants had major concerns about the current funding situation, the â€œclunkyâ€",Barrier,Outer setting,F. Financing
LaMonica 2020,"The first 2 participants had major concerns about the current funding situation, the â€œclunkyâ€",Barrier,Inner setting,A3. Work Infrastructure
LaMonica 2020,"The first 2 participants had major concerns about the current funding situation, the â€œclunkyâ€",Barrier,Inner setting,J1. Funding
LaMonica 2020,"All participants felt that technology could address service gapsâ€œ...quite well, especially (for) those who live regionally and (are on) waitlistsâ€",Enabler,Innovation,Accessibility
LaMonica 2020,"In fact, addressing service gaps was the main facilitator theme at the service level highlighted by participants.",Enabler,Innovation,Accessibility
LaMonica 2020,"Health professional facilitators: Interestingly, all participants commented that they felt that they had a high level of digital literacy and competency in their role and were ready for change; ",Enabler,Individuals,B. Capability
LaMonica 2020,"Health professional facilitators: Interestingly, all participants commented that they felt that they had a high level of digital literacy and competency in their role and were ready for change; ",Enabler,Individuals,D. Motivation
LaMonica 2020,"Good communication and team environments were seen as vital to implementation. This feedback was not only from service management but also from colleagues as it created a culture of support, with one participant highlighting â€œI think itâ€™s everybody. Itâ€™s just the cultureâ€",Enabler,Inner setting,D. Culture
LaMonica 2020,"Good communication and team environments were seen as vital to implementation. This feedback was not only from service management but also from colleagues as it created a culture of support, with one participant highlighting â€œI think itâ€™s everybody. Itâ€™s just the cultureâ€",Enabler,Inner setting,C. Communications
